更新时间,#genre#
20250818-114944

频道名称,URL地址,#genre#
乌海新闻综合,rtmp://play1-qk.nmtv.cn/live/1735546358166026
北京卫视,https://stream1.freetv.fun/bei-jing-wei-shi-14.ctv
华视新闻,https://stream1.freetv.fun/hua-shi-xin-wen-4.ctv
寰宇新闻,https://stream1.freetv.fun/huan-yu-xin-wen-3.ctv
新疆卫视,https://stream1.freetv.fun/xin-jiang-wei-shi-29.ctv
民视第一,https://stream1.freetv.fun/min-shi-di-yi-6.ctv
海南卫视,https://stream1.freetv.fun/hai-nan-wei-shi-24.ctv
甘肃卫视,https://stream1.freetv.fun/gan-su-wei-shi-19.ctv
CCTV风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV央视台球,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8
CCTV兵器科技,http://120.238.94.10:9901/tsfile/live/1096_1.m3u8
CCTV世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8
CCTV风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
CCTV女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
CCTV怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
CCTV文化精品,http://n1.gzbody.com:85/rtp/239.253.43.13:5146
CCTV4K,http://3501776.xyz:35455/gaoma/cctv4k.m3u8
CCTV8K,http://3501776.xyz:35455/gaoma/cctv8k_36m.m3u8
农林卫视,http://8.138.7.223/【公众号：榴芒电视】/农林卫视.m3u8
厦门卫视,http://3501776.xyz:35455/bptv/10000100000000050000000003887454.m3u8
宁夏卫视,http://106.53.99.30/tv/20250803.php?id=宁夏卫视
安多卫视,http://3501776.xyz:35455/itv/1000000005000266001.m3u8?cdn=ystenlive
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
大冶综合,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
大冶二套,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC2T.m3u8
荆门科教文旅,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed[浙江]洞头综合频道
优漫卡通,http://3501776.xyz:35455/itv/1000000002000010063.m3u8?cdn=ystenlive
北京卡酷少儿,http://[2409:8087:74d9:21::6]:80/270000001128/9900000040/index.m3u8
都市剧场,http://dassby.qqff.top:99/live/都市剧场/index.m3u8
东方财经,http://139.196.151.191:2051/rtp/239.45.1.119:5140
广德生活,http://8.138.7.223/【公众号：榴芒电视】/ahwanyun.php?id=ahsh
津南一套,http://61.147.106.103/play.jinnantv.top/live/JNTV1.m3u8?ztianjd&wsSession=4e59297ef5846f4a7cf02eb3-172672213891355&wsIPSercert=6d426cba8b106cdec9147b1e2a9ace7c&wsiphost=local&wsBindIP=1
海南新闻,http://nn.7x9d.cn/地方台8563/海南.php?id=xwpd
海南自贸,http://nn.7x9d.cn/地方台8563/海南.php?id=jjpd
海南文旅,http://nn.7x9d.cn/地方台8563/海南.php?id=wlpd
海南少儿,http://nn.7x9d.cn/地方台8563/海南.php?id=sepd
海南公共,http://nn.7x9d.cn/地方台8563/海南.php?id=ggpd
辽宁北方,http://dassby.qqff.top:99/live/辽宁北方/index.m3u8
辽宁影视剧,http://dassby.qqff.top:99/live/辽宁影视剧/index.m3u8
辽宁教育青少,http://dassby.qqff.top:99/live/辽宁教育青少/index.m3u8
辽宁生活,http://dassby.qqff.top:99/live/辽宁生活/index.m3u8
辽宁经济,http://dassby.qqff.top:99/live/辽宁经济/index.m3u8
辽宁都市,http://dassby.qqff.top:99/live/辽宁都市/index.m3u8
辽宁体育,http://dassby.qqff.top:99/live/辽宁体育/index.m3u8
辽宁公共,http://dassby.qqff.top:99/live/辽宁公共/index.m3u8
陕西七套,http://112.46.85.60:8009/hls/24/index.m3u8
西安一套,http://112.46.105.20:8009/hls/28/index.m3u8
