更新时间,#genre#
20251109-004342

频道名称,URL地址,#genre#
CCTV11,https://stream1.freetv.fun/cctv11-14.ctv
乌海新闻综合,rtmp://play1-qk.nmtv.cn/live/1735546358166026
嘉佳卡通,https://stream1.freetv.fun/jia-jia-qia-tong-32.ctv
安徽卫视,https://stream1.freetv.fun/an-hui-wei-shi-56.ctv
山东卫视,https://stream1.freetv.fun/shan-dong-wei-shi-45.ctv
广东卫视,https://stream1.freetv.fun/yan-dong-wei-shi-15.ctv
新疆卫视,https://stream1.freetv.fun/xin-jiang-wei-shi-29.ctv
明珠,https://stream1.freetv.fun/ming-zhu-10.ctv
浙江卫视,https://stream1.freetv.fun/zhe-jiang-wei-shi-106.ctv
海南卫视,https://stream1.freetv.fun/hai-nan-wei-shi-24.ctv
緯來日本,rtmp://f13h.mine.nu/sat/tv771
華視,rtmp://f13h.mine.nu/sat/tv111
CCTV风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
CCTV央视台球,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8
CCTV风云足球,http://dassby.qqff.top:99/live/风云足球/index.m3u8
CCTV世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8
CCTV风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
CCTV女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
CCTV怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
CCTV4K,http://106.59.3.183:55555/rtp/239.200.200.202:8784
CCTV-风云音乐,http://218.8.87.96:4000/rtp/229.58.190.190:5000
农林卫视,http://8.138.7.223/【公众号：榴芒电视】/农林卫视.m3u8
