更新时间,#genre#
20251031-164845

频道名称,URL地址,#genre#
嘉佳卡通,https://stream1.freetv.fun/jia-jia-qia-tong-16.ctv
新疆卫视,https://stream1.freetv.fun/xin-jiang-wei-shi-29.ctv
海南卫视,https://stream1.freetv.fun/hai-nan-wei-shi-24.ctv
CCTV风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV兵器科技,http://180.213.170.24:8188/rtp/239.5.1.125:5000
CCTV第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
CCTV央视台球,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8
CCTV风云足球,https://cc06.tv12.xyz/41.m3u8
CCTV世界地理,https://cc06.tv12.xyz/104.m3u8
CCTV风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
CCTV女性时尚,https://cc06.tv12.xyz/95.m3u8
CCTV怀旧剧场,https://cc06.tv12.xyz/52.m3u8
CCTV文化精品,http://www.lizhinas.top:1009/rtp/239.252.219.81:5140
CCTV电视指南,https://cc06.tv12.xyz/39.m3u8
CCTV中视购物,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226385/1.m3u8?
CCTV游戏风云,http://36.105.100.208:35455/itv/5000000011000031114.m3u8?cdn=bestzb
CCTV书画,https://cc06.tv12.xyz/103.m3u8
CCTV4K,http://n1.gzbody.com:85/rtp/239.77.0.174:5146
CCTV-游戏风云,https://zby.130519.xyz/PLTV/11/224/3221226117/index.m3u8
CCTV卫生健康,http://180.213.170.24:8188/rtp/239.5.1.131:5000
CCTV16(4K),http://home.kuaidi521.com:35455/gaoma/cctv4k16.m3u8
CCTV西班牙语,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cgtne
CCTV法语,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cgtnf
CCTV阿拉伯语,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cgtna
CCTV俄语,http://154.201.91.7:5555/tvbox/%E5%85%AC%E4%BC%97%E5%8F%B7%E5%A5%BD%E4%BA%AB%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%8A%A9%E6%89%8B/%E5%92%AA%E5%92%95/%E5%92%AA%E5%92%95.php?ID=cgtnr
CCTV42,P2p://66.42.60.221:6001/686b812b000e39330093b899ad62fabe.ts
CCTV体育赛事,video://http://99754106633f94d350db34d548d6091a.everydaytv.top/play-0-7-0.html
CCTV央视文化精品,http://183.185.106.82:8082/rtp/226.0.2.219:9664
CCTV-中国天气,http://111.113.88.2:2000/rtp/239.121.4.112:8654
CCTV-怀旧剧场,http://27.184.64.66:58888/rtp/239.254.201.220:7256上海
CCTV-风云剧场,http://106.59.3.88:55555/rtp/239.200.200.84:8016
CCTV-兵器科技,http://27.184.64.66:58888/rtp/239.254.201.225:7249
CCTV-电视指南,http://27.184.64.66:58888/rtp/239.254.201.217:7250
CCTV-高尔夫网球,http://27.184.64.66:58888/rtp/239.254.201.223:7252
CCTV-风云足球,http://114.100.195.166:4022/rtp/238.1.79.57:4592
CCTV-世界地理,http://114.100.195.166:4022/rtp/238.1.79.60:4616
CCTV-央视台球,http://114.100.195.166:4022/rtp/238.1.79.59:4608
香港卫视,https://yvxymm.tv12.xyz/175.m3u8
农林卫视,http://112.132.10.54:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://112.132.10.54:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
安多卫视,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225856/index.m3u8
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
大冶综合,http://dayeyun.live.tempsource.cjyun.org/videotmp/s10102-TC1T.m3u8
